Year,Prime Rate,Fed Funds Rate,Money M1,Money M2,Gross domestic product,Personal consumption expenditur,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investme,Fixed investment,Nonresidential,Structures,Equipment and software,Residential,Exports,Goods_1,Services_1,Imports,Goods_2,Services_2,Government consumption expendit,Federal,National defense,Nondefense,State and local,Personal income,Less: Contributions for governm,Less: Personal current taxes,Equals: Disposable personal inc,Less: Personal outlays,Personal consumption expendit_1,Equals: Personal saving,"Population (midperiod, thousand"
1947-I ,,,,,1770.149254,1130.642361,406.5663009,50.08226072,424.5550391,672.7998227,187.9531511,197.4192781,106.462458,104.9694393,44.52146891,112.6638501,85.71694773,63.95633045,16.65946813,50.99612429,38.97821396,12.01619024,407.6361595,223.7587631,185.3975535,40.24767802,179.7317849,1399.253731,47.01492537,143.2835821,1255.970149,1179.850746,1166.41791,76.11940299,143156
1947-II ,,,,,1768.297168,1149.623251,414.0690817,51.30418105,431.682946,682.319224,173.7917717,192.2636759,104.9726257,103.6473367,43.58173008,106.7433029,84.58035133,62.10949122,18.06102045,52.08995045,39.99492128,12.08882102,410.1759498,224.2195806,173.0070732,54.58632131,182.139459,1364.472232,44.13387275,143.4350864,1221.772711,1190.879,1178.374402,30.89371092,143803
1947-III ,,,,,1768.791145,1153.222966,416.528377,51.97282155,433.3921482,681.4511788,169.6058091,198.6939778,102.6657854,105.1964512,42.06275763,123.5311841,80.06603384,58.73715125,17.17078325,46.42749472,34.38463363,11.44892507,413.2513661,223.8281642,182.2157434,46.07428303,186.2940785,1400.564277,37.61846198,142.5160964,1257.324749,1198.003328,1184.258121,60.04485278,144462
1947-IV ,,,,,1802.778959,1153.423151,418.3846714,55.30582947,428.1738386,677.9661017,210.310336,216.6301969,106.0927554,103.0169242,44.74956918,147.9811838,70.88485239,51.23507058,16.64447403,48.39367967,35.20127179,13.91172379,407.336559,216.1021208,182.9712028,37.00189753,189.4574043,1395.859918,34.02807316,147.4549837,1248.404934,1203.03417,1189.564724,45.37076421,145135
1948-I ,,,,,1824.873808,1159.154259,418.8419081,54.88730585,429.1506503,684.4583987,227.7558457,223.6179544,112.8094726,105.1248357,48.3361739,146.3367671,67.64058435,49.22620452,15.19054224,54.69773802,40.57584348,14.11995825,414.9607171,224.2017816,182.6530612,43.89903223,189.0782436,1416.853617,33.65114975,148.6259114,1268.227706,1210.740325,1195.316882,58.18844644,145761
1948-II ,,,,,1853.418389,1172.789665,422.6795994,55.32886092,433.7399646,695.4088507,238.2603527,223.5287886,108.8048209,108.126962,45.32747062,155.2528812,61.16454066,44.139617,14.44138112,56.78269264,42.10992908,14.66006964,435.4502578,236.9526095,180.8446151,59.34110906,193.7606629,1442.934406,31.89571488,131.0497851,1311.884621,1223.824712,1208.57024,88.05990847,146341
1948-III ,,,,,1865.249676,1174.365432,422.070358,56.36501359,431.1235027,699.4078007,241.8461242,221.4003185,109.0776876,112.2067324,44.56026059,149.9068901,62.71124323,45.15839912,14.97688351,60.21678041,43.20502749,16.50064169,443.9678284,242.5557089,178.3767714,67.52608963,197.5773256,1459.227468,31.33728456,123.9866476,1334.559575,1222.835343,1207.166701,112.4054772,146973
1948-IV ,,,,,1874.488962,1184.018083,425.2239565,55.59632619,436.6424957,706.0020346,235.0969595,218.8706074,111.8586044,113.4194273,46.0758716,138.9274799,60.39046989,43.5913661,14.86940781,58.86810048,42.91845494,15.97836775,461.9970194,255.8299715,187.118377,71.21477965,202.6635785,1460.207141,30.66230581,125.3747615,1334.832379,1229.217771,1213.545925,105.6146089,147659
1949-I ,2,,,,1844.33511,1186.009113,424.6049036,54.44484113,438.052863,710.5772167,196.4645979,206.0858946,106.6816395,110.8064885,43.09018159,128.6528212,67.7923281,49.22214637,15.45097534,57.24166716,42.22378607,15.00750375,475.3944206,260.3920083,192.4557352,71.51029748,210.748156,1422.714227,35.53368867,121.6345497,1301.079677,1224.545579,1209.512095,75.85075851,148298
1949-II ,2,,,,1830.685647,1203.990832,433.8768479,59.29652756,439.4484091,714.1405933,163.6188643,199.7655812,102.4425518,108.8845129,41.0693332,126.0465544,66.92980951,48.54190417,16.00512164,56.63674158,40.94469499,15.74505605,497.8423324,270.2190196,195.4712599,78.34623372,222.513089,1422.185544,35.07324118,116.9108039,1305.27474,1244.756207,1228.251152,60.5185338,148891
1949-III ,2,,,,1855.884597,1206.943314,436.0865689,62.07225848,435.797243,712.9113924,181.4908525,198.9793288,97.23230856,103.6329762,38.9214657,136.5991521,61.4646905,44.62778924,14.03867016,53.85779123,39.35833979,14.54039702,501.9716509,267.8916828,195.6372885,75.77994292,232.4195471,1429.364034,33.28940981,113.0452875,1316.318746,1251.126985,1234.48228,65.19176087,149529
1949-IV ,2,,,,1839.622642,1224.129741,445.6131768,64.64977577,442.3665792,714.8602453,172.0346024,206.4576219,95.40435206,101.1040093,38.31814416,153.4839925,53.32040717,38.39866175,12.71779219,54.85232068,40.92769441,13.92493196,491.8724931,254.6142925,182.767624,74.12272471,236.3243762,1434.517203,31.21531632,109.600444,1324.916759,1269.422863,1251.387347,55.49389567,150211
1950-I ,2,,,,1916.167665,1244.393095,454.1355849,66.90261445,448.4675067,723.7961758,217.2742843,218.8987787,98.11473748,105.9494703,38.96774194,170.6742103,52.40761478,37.20353434,13.39200306,56.20969173,41.54645124,14.69460772,483.1687374,242.2112462,175.69404,69.50314643,242.1014405,1542.264309,36.90293831,115.5827879,1426.681521,1292.995405,1274.892076,132.9898343,150852
1950-II ,2,,,,1972.817419,1264.795401,458.9736274,67.52622873,453.5246755,742.0706164,240.5862784,239.3075356,106.8187294,110.9553843,43.39330576,187.5344732,53.19862309,37.9227614,13.33333333,59.09617613,43.86951631,15.21683997,490.9284952,247.6392368,177.0782095,73.3962444,245.1333814,1541.501976,36.75195895,122.044241,1419.457735,1315.442757,1296.720061,104.0149782,151385
1950-III ,2.026666667,,,,2051.787413,1329.667418,493.2967339,83.58849429,461.1043075,753.5121328,263.1332083,257.5149804,116.4345842,117.7815895,47.99204277,197.4849451,54.48263643,39.06998123,13.2718195,72.97221443,56.87049775,16.28256513,481.3452444,238.9406007,189.0267546,52.94636729,245.0694363,1570.613022,37.37936659,128.4490961,1442.163926,1383.716189,1364.007068,59.1273617,152039
1950-IV ,2.25,,,,2093.691526,1289.461694,467.154991,73.21738748,451.3039405,758.4869059,302.2519837,252.2723959,116.4029215,120.6669592,47.33613486,188.9638041,58.71862903,42.39195678,14.45268317,73.48602693,55.96919127,17.26051042,512.9533679,266.2325225,214.8791901,55.6184983,244.8146889,1607.190591,38.75968992,150.3608661,1456.829725,1343.892007,1323.843892,112.9377172,152724
1951-I ,2.48,,,,2125.322997,1321.135647,477.7058141,75.48289973,459.5404595,779.1960373,274.6207933,243.0310723,113.6029412,121.2568536,45.42261765,178.6788077,61.5864674,43.89199059,15.45881771,73.78429236,55.16854458,18.5806761,566.7655786,318.9561435,272.8110599,50.09392611,242.0591457,1611.757106,42.63565891,157.622739,1454.134367,1372.093023,1352.713178,82.04134367,153336
1951-II ,2.5,,,,2162.127441,1283.720348,453.617432,64.6628894,452.4304524,784.8699764,282.156231,232.0303816,114.9591497,125.5660766,45.55650626,154.5516304,67.73886864,48.25375401,17.0337024,71.42857143,52.62234696,18.38780473,645.1291255,387.3957368,337.755198,54.95529061,246.5281516,1649.537513,43.03699897,169.5786228,1479.95889,1336.716341,1317.446043,143.2425488,153947
1951-III ,2.5,,,,2199.24451,1298.912364,458.7019552,63.58564059,462.3245201,793.8299473,257.5888985,227.9411765,116.4415463,124.5317404,46.50841526,145.2825408,69.67165788,49.42555072,17.88588803,65.30873219,45.64087394,20.67213986,718.5984361,454.0410579,407.2058548,53.4258131,247.3572939,1664.639221,42.25622639,177.9883475,1486.650874,1349.638261,1330.430885,137.0126128,154655
