county;year;crmrte;prbarr;prbconv;prbpris;avgsen;polpc;density;taxpc;west;central;urban;pctmin80;wcon;wtuc;wtrd;wfir;wser;wmfg;wfed;wsta;wloc;mix;pctymle;d82;d83;d84;d85;d86;d87;lcrmrte;lprbarr;lprbconv;lprbpris;lavgsen;lpolpc;ldensity;ltaxpc;lwcon;lwtuc;lwtrd;lwfir;lwser;lwmfg;lwfed;lwsta;lwloc;lmix;lpctymle;lpctmin;clcrmrte;clprbarr;clprbcon;clprbpri;clavgsen;clpolpc;cltaxpc;clmix
1;81;0,039885;0,289696;0,402062;0,472222;5,61;0,001787;2,307159;25,69763;0;1;0;20,2187;206,480301;333,62088;182,333008;272,449188;215,73349;229,119995;409,369995;236,240005;231,470001;0,099918;0,087697;0;0;0;0;0;0;-3,221757;-1,238923;-0,911149;-0,750306;1,724551;-6,32734;0,836017;3,246399;5,330205;5,810005;5,205835;5,607452;5,374044;5,434246;6,014619;5,464848;5,44445;-2,303407;-2,43387;3,006608;;;;;;;;
1;82;0,038345;0,338111;0,433005;0,506993;5,59;0,001767;2,330254;24,874252;0;1;0;20,2187;212,754196;369,296417;189,541412;300,878754;231,576706;240,330002;419,700012;253,880005;236,789993;0,103049;0,086377;1;0;0;0;0;0;-3,261134;-1,084381;-0,837006;-0,679258;1,720979;-6,338704;0,845977;3,213833;5,360137;5,9116;5,244607;5,706707;5,444911;5,482013;6,03954;5,536862;5,467174;-2,272549;-2,449038;3,006608;-0,039376;0,154542;0,074143;0,071048;-0,003571;-0,011364;-0,032565;0,030857
1;83;0,030305;0,330449;0,525703;0,479705;5,8;0,001836;2,341801;26,451443;0;1;0;20,2187;219,780212;1394,803467;196,639465;309,969635;240,156845;269,700012;438,850006;250,360001;248,580002;0,080679;0,085091;0;1;0;0;0;0;-3,496449;-1,107303;-0,643019;-0,734584;1,757858;-6,300291;0,85092;3,275311;5,392628;7,240509;5,281372;5,736475;5,481292;5,59731;6,084157;5,5229;5,515765;-2,517281;-2,464036;3,006608;-0,235316;-0,022922;0,193987;-0,055326;0,036879;0,038413;0,061477;-0,244732
1;84;0,034726;0,362525;0,604706;0,520104;6,89;0,001886;2,34642;26,842348;0;1;0;20,2187;223,423798;398,860413;200,562912;350,086334;252,447678;281,73999;459,170013;261,929993;264,380005;0,078504;0,083833;0;0;1;0;0;0;-3,36027;-1,014662;-0,503013;-0,653727;1,930071;-6,273361;0,852891;3,289981;5,40907;5,988612;5,301128;5,85818;5,531204;5,640985;6,129421;5,568077;5,577387;-2,544612;-2,478925;3,006608;0,13618;0,092641;0,140006;0,080857;0,172213;0,02693;0,01467;-0,027331
1;85;0,036573;0,325395;0,578723;0,497059;6,55;0,001924;2,364896;28,140337;0;1;0;20,2187;243,756241;358,78302;206,882736;383,07074;261,086121;298,880005;490,429993;281,440002;288,579987;0,093249;0,082306;0;0;0;1;0;0;-3,308445;-1,122715;-0,546931;-0,699047;1,879465;-6,253162;0,860734;3,337204;5,496169;5,882718;5,332152;5,94822;5,56485;5,700042;6,195282;5,639919;5,664972;-2,372487;-2,497306;3,006608;0,051825;-0,108054;-0,043918;-0,04532;-0,050606;0,020199;0,047223;0,172125
1;86;0,034752;0,326062;0,512324;0,439863;6,9;0,001895;2,385681;29,74098;0;1;0;20,2187;257,91394;369,546509;218,516525;409,884247;269,612854;322,649994;478,670013;286,910004;306,700012;0,097323;0,080081;0;0;0;0;1;0;-3,359507;-1,120668;-0,668798;-0,821292;1,931521;-6,26842;0,869485;3,392526;5,552626;5,912277;5,386862;6,015875;5,596987;5,776568;6,171011;5,659169;5,72587;-2,329722;-2,524721;3,006608;-0,051062;0,002048;-0,121867;-0,122245;0,052056;-0,015258;0,055322;0,042765
1;87;0,035604;0,29827;0,527596;0,43617;6,71;0,001828;2,422633;30,993681;0;1;0;20,2187;281,425903;408,724487;221,270065;453,172211;274,17746;334,540009;477,579987;292,089996;311,910004;0,080169;0,077871;0;0;0;0;0;1;-3,335309;-1,209756;-0,639424;-0,829723;1,903599;-6,304609;0,884855;3,433783;5,639869;6,013041;5,399384;6,116272;5,613776;5,812757;6,168732;5,677062;5,742715;-2,523621;-2,552702;3,006608;0,024198;-0,089089;0,029374;-0,008431;-0,027923;-0,036189;0,041257;-0,193899
3;81;0,016392;0,202899;0,869048;0,465753;8,45;0,000594;0,976834;14,560878;0;1;0;7,91632;188,76828;292,642151;151,423386;202,429153;191,374161;210,75;381,720001;247,380005;213,169998;0,056122;0,087005;0;0;0;0;0;0;-4,110956;-1,595047;-0,140357;-0,7641;2,134166;-7,428766;-0,023439;2,678338;5,24052;5,67895;5,02008;5,31039;5,25423;5,350673;5,944687;5,510926;5,36209;-2,880219;-2,441794;2,068926;;;;;;;;
3;82;0,019065;0,162218;0,772152;0,377049;5,71;0,000705;0,992278;35,640728;0;1;0;7,91632;186,965805;345,72168;156,882584;225,040924;208,818954;217,770004;386,420013;374,070007;219,179993;0,047312;0,086472;1;0;0;0;0;0;-3,959896;-1,818814;-0,258574;-0,97538;1,742219;-7,257781;-0,007752;3,573489;5,230926;5,845634;5,055498;5,416282;5,341468;5,38344;5,956925;5,924443;5,389893;-3,050995;-2,447933;2,068926;0,15106;-0,223767;-0,118217;-0,21128;-0,391948;0,170985;0,895151;-0,170775
3;83;0,015149;0,181586;1,02817;0,438356;8,69;0,000659;1,003861;19,261877;0;1;0;7,91632;193,598343;604,911499;157,129456;248,138962;219,084717;236,639999;382,649994;268,899994;223,059998;0,059621;0,085943;0;1;0;0;0;0;-4,189807;-1,706026;0,027781;-0,824724;2,162173;-7,325303;0,003854;2,958128;5,265786;6,405082;5,05707;5,513989;5,389459;5,46654;5,947121;5,594339;5,407441;-2,819754;-2,454076;2,068926;-0,229912;0,112788;0,286354;0,150656;0,419954;-0,067522;-0,615361;0,231241
