Period,SalesMwh,Numcust,YD87,Pricelec,Aircnsat,Degreday,Thib65,Thib75,salesmw2,numcust2,Yd872,priclec2,aircnst2,degrday2,Thi652,Thi752
"""1st Quarter, 1978""",1144781,690044.6875,2560.195068,6.765120029,0.639999986,547.4337769,0,0,1144781,690044.6875,2560.195068,6.765120029,0.639999986,547.4337769,0,0
"""2nd Quarter, 1978""",1143784,693866.5,2596.593994,6.892796993,0.639999986,-26.32670021,3.586117983,-0.240419999,1143784,693866.5,2596.593994,6.892796993,0.639999986,-26.32670021,3.586117983,-0.240419999
"""3rd Quarter, 1978""",1184600,697890.875,2614.066895,6.86256218,0.639999986,-1.683500051,64.13150787,-2.007390022,1184600,697890.875,2614.066895,6.86256218,0.639999986,-1.683500051,64.13150787,-2.007390022
"""4th Quarter, 1978""",1139054,701234.3125,2634.780029,6.273794174,0.639999986,12.41162968,13.60704041,0.388660997,1139054,701234.3125,2634.780029,6.273794174,0.639999986,12.41162968,13.60704041,0.388660997
"""1st Quarter, 1979""",1204495,704746.5,2650.970947,6.159055233,0.660000026,606.3046875,0,0,1204495,704746.5,2650.970947,6.159055233,0.660000026,606.3046875,0,0
"""2nd Quarter, 1979""",1179361,709583.6875,2657.716064,6.201697826,0.660000026,148.1826019,-22.92840004,-0.280499995,1179361,709583.6875,2657.716064,6.201697826,0.660000026,148.1826019,-22.92840004,-0.280499995
"""3rd Quarter, 1979""",1085491,713389.125,2681.397949,6.547964096,0.660000026,-1.683500051,-32.68780136,-10.58380032,1085491,713389.125,2681.397949,6.547964096,0.660000026,-1.683500051,-32.68780136,-10.58380032
"""4th Quarter, 1979""",1160943,717401.375,2705.079102,5.940384865,0.660000026,-83.39440155,0.86126399,0.002983,1160943,717401.375,2705.079102,5.940384865,0.660000026,-83.39440155,0.86126399,0.002983
"""1st Quarter, 1980""",1158592,721355.6875,2736.512939,5.895954132,0.680000007,66.08061981,0,0,1158592,721355.6875,2736.512939,5.895954132,0.680000007,66.08061981,0,0
"""2nd Quarter, 1980""",1193556,724229.125,2685.12207,6.025846958,0.680000007,23.54706955,-6.162479877,-0.280499995,1193556,724229.125,2685.12207,6.025846958,0.680000007,23.54706955,-6.162479877,-0.280499995
